Keyword/Keyword Phrase,Related Terms,Volume,CPC,URL,Outbound Links
plumber,plumbers mate,3600,0.26,https://www.simplyhired.co.uk/search?q=plumbers+mate,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers mate,3600,0.26,https://www.gumtree.com/jobs/b/plumbers-mate/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers mate,3600,0.26,https://www.wickes.co.uk/Evo-Stik-Plumber's-Mait-Waterproof-Non-Setting-Putty---750g/p/151076,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers mate,3600,0.26,https://www.homebase.co.uk/plumbers-mait-750g_p320565,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers mate,3600,0.26,https://uk.jooble.org/jobs-plumbers-mate/Leeds,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers edinburgh,2900,6.11,https://www.trustedtrader.scot/Edinburgh/search.php?bus_type=Plumbers,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers edinburgh,2900,6.11,https://www.yell.com/s/plumbers-edinburgh.html,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers edinburgh,2900,6.11,https://www.mybuilder.com/plumbers/midlothian/edinburgh,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers edinburgh,2900,6.11,https://www.gumtree.com/plumbing-services/edinburgh,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers edinburgh,2900,6.11,https://threebestrated.co.uk/plumbers-in-edinburgh,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers edinburgh,2900,6.11,http://www.cummingsplumbing.co.uk/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers edinburgh,2900,6.11,https://edinburgh-reviews.co.uk/6-of-the-most-recommended-plumbers-in-edinburgh/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers edinburgh,2900,6.11,https://www.trustatrader.com/plumbers-in-edinburgh,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
